m,k,nodes,edges,girth,is_bipartite,spectral_asymmetry,diameter,radius,graph_energy,lambda_max,lambda_min,algebraic_connectivity,avg_clustering_coeff,avg_shortest_path
3,0,12,18,3,False,0.7639320225002129,4,3,18.128990204491966,3.0000000000000027,-2.23606797749979,0.7639320225002114,0.16666666666666666,2.0454545454545454
3,1,18,27,3,False,0.35424868893540573,5,4,27.68380746754244,2.9999999999999947,-2.645751311064589,0.3542486889354111,0.1111111111111111,2.6470588235294117
3,2,24,36,3,False,0.20206734806818227,7,4,37.12461074378241,2.9999999999999987,-2.7979326519318164,0.20206734806818677,0.08333333333333333,3.239130434782609
3,3,30,45,3,False,0.13014495531572212,9,5,46.525573424034775,3.0000000000000004,-2.8698550446842783,0.13014495531572223,0.06666666666666667,3.8413793103448275
3,4,36,54,3,False,0.09068708882357424,11,6,55.90800981537492,2.999999999999993,-2.9093129111764187,0.09068708882359067,0.05555555555555555,4.457142857142857
3,5,42,63,3,False,0.06676365227592607,13,7,65.280208725183,3.0000000000000044,-2.9332363477240784,0.06676365227592312,0.047619047619047616,5.083623693379791
3,6,48,72,3,False,0.05118360523326304,15,8,74.64609879599499,3.0000000000000098,-2.9488163947667467,0.051183605233253916,0.041666666666666664,5.718085106382978
3,7,54,81,3,False,0.040477997523311604,17,9,84.00780706090843,3.0000000000000004,-2.959522002476689,0.04047799752331023,0.037037037037037035,6.3584905660377355
3,8,60,90,3,False,0.032808387518503235,19,10,93.36659512872927,3.000000000000001,-2.9671916124814977,0.03280838751849061,0.03333333333333333,7.003389830508475
3,9,66,99,3,False,0.027127332955893646,21,11,102.72326180816674,2.9999999999999956,-2.972872667044102,0.027127332955885798,0.0303030303030303,7.651748251748252
3,10,72,108,3,False,0.022802776913133815,23,12,112.07833841958458,3.00000000000001,-2.9771972230868764,0.022802776913110806,0.027777777777777776,8.30281690140845
3,11,78,117,3,False,0.019435075408654523,25,13,121.43219237591964,2.999999999999995,-2.9805649245913406,0.019435075408656587,0.025641025641025637,8.956043956043956
3,12,84,126,3,False,0.016761550139297476,27,14,130.78508593920625,3.0000000000000018,-2.9832384498607043,0.016761550139297327,0.023809523809523808,9.611015490533562
3,13,90,135,3,False,0.014603811395339505,29,15,140.13721134914522,2.999999999999999,-2.9853961886046596,0.01460381139534369,0.02222222222222222,10.26741573033708
3,14,96,144,3,False,0.01283727901994558,31,16,149.48871273820316,3.0000000000000027,-2.987162720980057,0.012837279019951967,0.020833333333333332,10.925
3,15,102,153,3,False,0.011372823730642523,33,17,158.839700297063,2.9999999999999862,-2.9886271762693437,0.011372823730667352,0.019607843137254898,11.583576004659289
3,16,108,162,3,False,0.010145319242284234,35,18,168.1902597118047,3.0000000000000067,-2.9898546807577224,0.010145319242282538,0.018518518518518517,12.242990654205608
3,17,114,171,3,False,0.009106285136331937,37,19,177.54045861773017,2.9999999999999862,-2.9908937148636543,0.00910628513634791,0.017543859649122806,12.903120633442013
3,18,120,180,3,False,0.008219031683525557,39,20,186.8903511152975,2.999999999999991,-2.9917809683164656,0.008219031683543843,0.016666666666666666,13.563865546218487
3,19,126,189,3,False,0.007455379630831871,41,21,196.23998099477276,3.000000000000003,-2.9925446203691712,0.007455379630820137,0.015873015873015872,14.225142857142858
3,20,132,198,3,False,0.006793397120129718,43,22,205.58938408081553,2.9999999999999933,-2.9932066028798636,0.006793397120110582,0.01515151515151515,14.886884108258155
3,21,138,207,3,False,0.006215808688697422,45,23,214.9385899650464,2.999999999999997,-2.9937841913112995,0.0062158086887218154,0.014492753623188404,15.549032053316408
3,22,144,216,3,False,0.005708857593293093,47,24,224.2876233052192,3.0000000000000004,-2.9942911424067074,0.005708857593295193,0.013888888888888888,16.21153846153846
3,23,150,225,3,False,0.005261479651690326,49,25,233.6365048124326,2.9999999999999996,-2.9947385203483092,0.005261479651701106,0.013333333333333332,16.87436241610738
3,24,156,234,3,False,0.00486469481054419,51,26,242.98525201040712,2.9999999999999885,-2.9951353051894443,0.004864694810565671,0.012820512820512818,17.537468982630273
3,25,162,243,3,False,0.0045111532559865,53,27,252.33387982596437,2.999999999999993,-2.9954888467440064,0.004511153255987959,0.012345679012345678,18.200828157349896
3,26,168,252,3,False,0.00419479278558299,55,28,261.6824010529183,2.99999999999999,-2.995805207214407,0.004194792785590153,0.011904761904761904,18.86441402908469
3,27,174,261,3,False,0.003910577332948417,57,29,271.0308267199547,3.00000000000001,-2.996089422667062,0.003910577332940404,0.011494252873563216,19.528204106039468
3,28,180,270,3,False,0.0036542954003069283,59,30,280.3791663849064,2.9999999999999973,-2.9963457045996904,0.0036542954002978514,0.01111111111111111,20.19217877094972
3,29,186,279,3,False,0.0034224032126952686,61,31,289.7274283720551,3.000000000000002,-2.996577596787307,0.00342240321269412,0.01075268817204301,20.856320836966
3,30,192,288,3,False,0.003211901603869638,63,32,299.07561996492416,3.0000000000000067,-2.996788098396137,0.0032119016038549214,0.010416666666666666,21.520615183246072
3,31,198,297,3,False,0.0030202385914712693,65,33,308.42374756400716,3.000000000000001,-2.9969797614085296,0.003020238591466884,0.0101010101010101,22.185048454083987
3,32,204,306,3,False,0.0028452316938807343,67,34,317.77181681665644,3.0000000000000053,-2.9971547683061246,0.002845231693875152,0.009803921568627449,22.84960880904086
3,33,210,315,3,False,0.0026850055456439925,69,35,327.11983272469706,2.9999999999999956,-2.9973149944543516,0.002685005545637599,0.009523809523809523,23.514285714285716
3,34,216,324,3,False,0.002537941463306659,71,36,336.467799734103,2.999999999999991,-2.9974620585366845,0.002537941463317852,0.009259259259259259,24.17906976744186
3,35,222,333,3,False,0.0024026364152662794,73,37,345.81572181012496,2.9999999999999925,-2.997597363584726,0.0024026364152742487,0.009009009009009007,24.843952549834903
3,36,228,342,3,False,0.0022778694437604052,75,38,355.1636025005566,2.999999999999998,-2.9977221305562374,0.002277869443753736,0.008771929824561403,25.508926501275216
3,37,234,351,3,False,0.0021625740316051356,77,39,364.5114449892636,3.0000000000000058,-2.9978374259684006,0.0021625740316002133,0.008547008547008546,26.173984813469794
3,38,240,360,3,False,0.002055815240633585,79,40,373.8592521416807,3.0000000000000058,-2.997944184759372,0.0020558152406316404,0.008333333333333333,26.839121338912133
3,39,246,369,3,False,0.001956770702761901,81,41,383.2070265436539,2.9999999999999947,-2.9980432292972328,0.0019567707027682247,0.008130081300813007,27.50433051269288
3,40,252,378,3,False,0.0018647147393817676,83,42,392.5547705347267,2.9999999999999867,-2.998135285260605,0.001864714739389495,0.007936507936507936,28.169607285145133
3,41,258,387,3,False,0.0017790050341193187,85,43,401.9024862367855,3.000000000000005,-2.9982209949658856,0.0017790050341182895,0.007751937984496123,28.834947063614152
3,42,264,396,3,False,0.0016990714004285756,87,44,411.25017557879653,2.9999999999999956,-2.998300928599567,0.0016990714004360035,0.007575757575757575,29.50034566194262
3,43,270,405,3,False,0.0016244062760897293,89,45,420.59784031824364,3.0000000000000098,-2.99837559372392,0.0016244062760754478,0.007407407407407407,30.165799256505576
3,44,276,414,3,False,0.0015545566473673667,91,46,429.94548205977185,2.999999999999996,-2.9984454433526286,0.0015545566473679014,0.007246376811594202,30.831304347826087
3,45,282,423,3,False,0.0014891171628832467,93,47,439.29310227144583,3.000000000000005,-2.9985108828371216,0.001489117162885317,0.007092198581560283,31.496857726962975
3,46,288,432,3,False,0.001427724240358863,95,48,448.64070229897993,2.999999999999994,-2.998572275759635,0.0014277242403486403,0.006944444444444444,32.16245644599303
3,47,294,441,3,False,0.0013700510063987537,97,49,457.9882833782269,2.9999999999999933,-2.9986299489935946,0.0013700510064052257,0.006802721088435373,32.82809779201783
3,48,300,450,3,False,0.0013158029373809832,99,50,467.33584664615944,3.000000000000001,-2.99868419706262,0.0013158029373801254,0.006666666666666666,33.49377926421405
3,49,306,459,3,False,0.001264714092264807,101,51,476.6833931505719,3.0000000000000115,-2.9987352859077467,0.0012647140922644048,0.0065359477124183,34.15949855351977
